semester,course_id,course_code,memo,name,chinese_name,limit,reg_num,time,credit,hours,lecturer,type
1111,910165,SESE20069,,Viscous Fluid Dynamics,黏性流體力學,Unlimited,10,T234-,3,3,賴正權、陳竺博淵,2
1111,910166,SESE20067,,Electrical Engineering,電工學,Unlimited,13,W34F1-,3,3,李彥宏,1
1111,910167,SESE20013,,Principles of Jet Propulsion,噴射推進原理,Unlimited,10,T567-,3,3,夏筱明,1
1111,910168,SESE20035,,Fluid Mechanics Lab,流體力學實驗,Unlimited,10,W567-,1,3,賴正權,1
1111,910169,SESE10185,,Ethics in Engineering,工程倫理,Unlimited,33,F34-,2,2,張德仁,1
1111,910170,SESE10094,,Thermodynamics(1),熱力學(1),Unlimited,19,R9ab-,3,3,戴昌聖,1
1111,910171,SESE00116,,The Art of War and Life,孫子兵法與人生,Unlimited,29,F12-,2,2,系統工程,2
1111,910172,SESE20039,,Thermal Fluid Exp;eriment,熱流實驗,Unlimited,3,R56-,1,2,張枝成,1
1111,910173,SESE20077,,Data Communications and confidentiality,資料通訊與保密,Unlimited,21,W567-,3,3,系統工程,2
1111,910174,SESE00079,,C4ISR System Practice(3),C4ISR 系統專題實作(3),Unlimited,5,M567-,1,3,劉中宇,1
1111,910175,SESE20066,,Electromagnetic Waves,電磁波,Unlimited,31,T234-,3,3,李志國,2
1111,910176,SESE10026,,Engineering Mathematics(1),工程數學(1),Unlimited,32,T1F12-,3,3,賴渝翔,1
1111,910177,SESE00011,,"Introduction to Defense Technology (I)
[CCS,COE,COS,CBT,CHS,CHK,CI] GECIDAST",國防科技概論(1),100,101,F567-EE106[GF],3,3,李永隆,2
1111,910178,SESE10032,,Workshop Practice(2),工廠實習(2),Unlimited,16,W12-,1,2,黃國鑫,1
1111,910179,SESE10094,,Thermodynamics(1),熱力學(1),Unlimited,16,R123-,3,3,夏筱明,1
1111,910180,SESE00051,,English(1),英文(1),Unlimited,23,W34F3-,3,3,系統工程,1
1111,910181,SESE10073,,Mechanical Materials,機械材料,Unlimited,32,W567-,3,3,系統工程,1
1111,910182,SESE10032,,Workshop Practice(2),工廠實習(2),Unlimited,16,W12-,1,2,蔡林昌,1
1111,910183,SESE10094,,Thermodynamics(1),熱力學(1),Unlimited,16,W34R4-,3,3,夏筱明,1
1111,910184,SESE10021,,Engineering Graphics,工程圖學,Unlimited,16,M78-,1,2,系統工程,1
