department,course_id,course_code,memo,name,chinese_name,limit,reg_num,time,credit,hours,lecturer,type
SET,910220.0,SESE10122,,"Window Programming
",視窗程式設計,Unlimited,0.0,Tabc-,3.0,3.0,陳丙堃,Elective
SET,910221.0,SESE10124,,"Computer Organization. and Architecture
",計算機組織,Unlimited,19.0,R123-,3.0,3.0,蔡宗憲,Required
SET,910222.0,SESE10124,,"Computer Organization. and Architecture
",計算機組織,Unlimited,21.0,T678-,3.0,3.0,蔡宗憲,Required
SET,910223.0,SESE10126,,"Computer Networks
",計算機網路,Unlimited,19.0,W678-,3.0,3.0,劉芳萍,Required
SET,910224.0,SESE10126,,"Computer Networks
",計算機網路,Unlimited,21.0,Tabc-,3.0,3.0,劉芳萍,Required
SET,910225.0,SESE10115,,"Linear Algebra
",線性代數,Unlimited,19.0,T678-,3.0,3.0,張仁煦,Required
SET,910226.0,SESE10115,,"Linear Algebra
",線性代數,Unlimited,21.0,F234-,3.0,3.0,張仁煦,Required
SET,910227.0,SESE10085,,"Introduction to Algorithms
",演算法概論,Unlimited,19.0,M34T9-,3.0,3.0,周兆龍,Required
SET,910228.0,SESE10085,,"Introduction to Algorithms
",演算法概論,Unlimited,21.0,M34T9-,3.0,3.0,周兆龍,Required
SET,910229.0,SESE20050,,"Software Design and Practice for Mobile Devices
",行動裝置軟體設計與實驗,Unlimited,21.0,M678-,3.0,3.0,陳丙堃,Required
SET,910230.0,SESE20022,,"Introduction to Cryptography
",密碼學概論,Unlimited,0.0,F234-,3.0,3.0,羅嘉寧,Required
SET,910231.0,SESE10123,,"Computer Graphic
",計算機圖學,Unlimited,0.0,Mabc-,3.0,3.0,劉中宇,Elective
SET,910232.0,SESE10012,,"Civil Engineering Construction
",土木施工,Unlimited,24.0,T67F2-,3.0,3.0,宋欣芳,Required
SET,910233.0,SESE10111,,"General Statistics
",統計學,Unlimited,24.0,T89-,2.0,2.0,沈鴻禧,Required
SET,910234.0,SESE20153,,"User Interface Design
",使用者介面設計,Unlimited,0.0,Mabc-,3.0,3.0,系統工程,Elective
SET,910235.0,SESE10135,,"Information System Practice
",資訊系統應用實務,Unlimited,0.0,Wabc-,3.0,3.0,陳丙堃,Elective
SET,910236.0,SESE10125,,"Computer Mathematics
",計算機數學,Unlimited,0.0,W234-,3.0,3.0,王順吉,Elective
SET,910237.0,SESE20154,,"Probability and Statistics
",機率與統計,Unlimited,0.0,W678-,3.0,3.0,張仁煦,Required
SET,910238.0,SESE20154,,"Probability and Statistics
",機率與統計,Unlimited,0.0,T4R12-,3.0,3.0,賴泰宏,Required
SET,910239.0,SESE20155,,"Network Defense Practice
",網路攻防實務,Unlimited,15.0,W678-,3.0,3.0,羅嘉寧,Required
SET,910240.0,SESE20156,,"Networks Defense Practice(2)
",網路攻防專題實作(2),Unlimited,0.0,M567-,1.0,3.0,羅嘉寧,Required
SET,910241.0,SESE20157,,"System Security Practice(2)
",系統安全專題實作(2),Unlimited,0.0,M567-,1.0,3.0,系統工程,Required
